run_id,run_dir,dataset_id,model_type,experiment_id,n_rows,n_features,accuracy,roc_auc,log_loss,accuracy_mean,accuracy_std,roc_auc_mean,roc_auc_std,log_loss_mean,log_loss_std,oof_log_loss,balanced_accuracy_at_chosen_threshold,chosen_threshold,baseline_log_loss,baseline_keep_rate,n_selected_features,n_zero_features,feature_report_kind
run_20260429_212330_5a7789a3,C:\Users\kille\Documents\Spring 2026\CSCE_Project\mtg_milligan_modeling\models\runs\run_20260429_212330_5a7789a3,ds_20260429_212329_6a56deca,logreg_l1,full,660,58,0.8484848484848485,0.9279567248586182,0.31988134946579116,0.840909090909091,0.03387981784090591,0.9161052372756332,0.03302527948123427,0.344612965308865,0.07737906779430477,0.34461296530886504,0.8372756331448241,0.6699999999999999,0.6595976418701714,0.6287878787878788,52,6,coefficient
run_20260429_212339_e71aa6e0,C:\Users\kille\Documents\Spring 2026\CSCE_Project\mtg_milligan_modeling\models\runs\run_20260429_212339_e71aa6e0,ds_20260429_212329_6a56deca,logreg_l1,no_mana_buckets,660,51,0.8484848484848485,0.9225473321858864,0.334211315963347,0.8378787878787879,0.03577490591853818,0.9110892549791,0.035579229318277415,0.350415254013088,0.07921329878427391,0.35041525401308804,0.8357019916400295,0.6699999999999999,0.6595976418701714,0.6287878787878788,48,3,coefficient
run_20260429_212348_e60d34be,C:\Users\kille\Documents\Spring 2026\CSCE_Project\mtg_milligan_modeling\models\runs\run_20260429_212348_e60d34be,ds_20260429_212329_6a56deca,logreg_l1,land_only,660,3,0.8333333333333334,0.8750922055569216,0.41261825439430483,0.8287878787878789,0.013762047064079533,0.8652815343004672,0.04326522116217974,0.41212862653520244,0.04490651213748436,0.4121286265352025,0.813621834275879,0.5599999999999999,0.6595976418701714,0.6287878787878788,3,0,coefficient
run_20260429_212349_59600976,C:\Users\kille\Documents\Spring 2026\CSCE_Project\mtg_milligan_modeling\models\runs\run_20260429_212349_59600976,ds_20260429_212329_6a56deca,logreg_l1,cards_only,660,48,0.5984848484848485,0.5922055569215638,0.6513674862099993,0.6303030303030304,0.03987181020285078,0.6141135972461272,0.08516938556193811,0.6445280181346541,0.039053962768933324,0.6445280181346541,0.6123432505532334,0.6449999999999999,0.6595976418701714,0.6287878787878788,28,20,coefficient
run_20260429_212350_1027c023,C:\Users\kille\Documents\Spring 2026\CSCE_Project\mtg_milligan_modeling\models\runs\run_20260429_212350_1027c023,ds_20260429_212329_6a56deca,xgboost,full,660,58,0.8409090909090909,0.9223014507007623,0.3548314047428161,0.8454545454545453,0.030113040779320897,0.926481435947873,0.02637472939363244,0.34587490764961293,0.04301381825063165,0.345874907649613,0.8507253503811163,0.6649999999999999,0.6595976418701714,0.6287878787878788,42,16,importance
run_20260429_212355_053d5280,C:\Users\kille\Documents\Spring 2026\CSCE_Project\mtg_milligan_modeling\models\runs\run_20260429_212355_053d5280,ds_20260429_212329_6a56deca,xgboost,no_mana_buckets,660,51,0.8257575757575758,0.9104991394148021,0.374160869595237,0.8393939393939395,0.020327890704543525,0.9192033439881977,0.028121791265693072,0.35907727349223884,0.04150393281036021,0.35907727349223884,0.8377182198180477,0.59,0.6595976418701714,0.6287878787878788,38,13,importance
run_20260429_212359_05dd8998,C:\Users\kille\Documents\Spring 2026\CSCE_Project\mtg_milligan_modeling\models\runs\run_20260429_212359_05dd8998,ds_20260429_212329_6a56deca,xgboost,land_only,660,3,0.8333333333333334,0.8568969756577329,0.4331300813065413,0.8363636363636363,0.011489205218259914,0.8511187607573149,0.04407284159567159,0.4240518872270549,0.043659179425501425,0.42405188722705495,0.813621834275879,0.625,0.6595976418701714,0.6287878787878788,3,0,importance
run_20260429_212402_4bfa4310,C:\Users\kille\Documents\Spring 2026\CSCE_Project\mtg_milligan_modeling\models\runs\run_20260429_212402_4bfa4310,ds_20260429_212329_6a56deca,xgboost,cards_only,660,48,0.6893939393939394,0.7533808704204574,0.5463867645738751,0.7545454545454546,0.04371678195834393,0.7744283255470863,0.04961465552606968,0.53516964462668,0.05909415836956559,0.53516964462668,0.7155888861568724,0.6,0.6595976418701714,0.6287878787878788,27,21,importance
run_20260429_212405_46a2db6e,C:\Users\kille\Documents\Spring 2026\CSCE_Project\mtg_milligan_modeling\models\runs\run_20260429_212405_46a2db6e,ds_20260429_212329_6a56deca,lightgbm,full,660,58,0.8409090909090909,0.9309073026801082,0.334864175372269,0.8515151515151516,0.020468569827433763,0.9236783870174576,0.02398611380553938,0.34326316395693485,0.04500703111085228,0.34326316395693485,0.8521022866978116,0.6,0.6595976418701714,0.6287878787878788,36,22,importance
run_20260429_212425_4568ffd4,C:\Users\kille\Documents\Spring 2026\CSCE_Project\mtg_milligan_modeling\models\runs\run_20260429_212425_4568ffd4,ds_20260429_212329_6a56deca,lightgbm,no_mana_buckets,660,51,0.8106060606060606,0.9122203098106713,0.36384923138629655,0.85,0.01642385105202938,0.9201376936316695,0.02288508157594015,0.34627456762579184,0.039018324363865986,0.34627456762579184,0.842094910253258,0.6549999999999999,0.6595976418701714,0.6287878787878788,36,15,importance
run_20260429_212445_3eb9663d,C:\Users\kille\Documents\Spring 2026\CSCE_Project\mtg_milligan_modeling\models\runs\run_20260429_212445_3eb9663d,ds_20260429_212329_6a56deca,lightgbm,land_only,660,3,0.8333333333333334,0.8433734939759037,0.4346577892095378,0.8363636363636363,0.011489205218259914,0.8427587902630931,0.04466794344265335,0.4225947480633696,0.04293753723224713,0.4225947480633696,0.813621834275879,0.6,0.6595976418701714,0.6287878787878788,2,1,importance
run_20260429_212452_a82d2752,C:\Users\kille\Documents\Spring 2026\CSCE_Project\mtg_milligan_modeling\models\runs\run_20260429_212452_a82d2752,ds_20260429_212329_6a56deca,lightgbm,cards_only,660,48,0.696969696969697,0.7435456110154905,0.5619694525736205,0.7378787878787879,0.062148922127253606,0.7630686009343497,0.0573345854399683,0.5506105400985029,0.058961181542455735,0.550610540098503,0.7091713793951315,0.5499999999999999,0.6595976418701714,0.6287878787878788,21,27,importance
